Model year,Make,Model,Vehicle class,Range 1 (km),Recharge time (h),Combined (L/100 km),Range 2 (km),CO2 emissions (g/km),CO2 rating,Smog rating
2022,Chrysler,Pacifica Hybrid,Minivan,51,2.0,8.0,784,74,10.0,7.0
2022,Ford,Escape Plug-in Hybrid,Sport utility vehicle: Small,60,3.3,5.8,784,48,10.0,7.0
2022,Hyundai,IONIQ Plug-in Hybrid,Mid-size,47,2.3,4.5,954,46,10.0,7.0
2022,Hyundai,Santa Fe Plug-in Hybrid,Sport utility vehicle: Small,50,3.4,7.2,655,69,10.0,7.0
2022,Hyundai,Tucson Plug-in Hybrid,Sport utility vehicle: Small,53,1.7,6.7,626,62,10.0,7.0
2022,Jeep,Grand Cherokee 4xe,Sport utility vehicle: Standard,42,3.4,10.0,719,110,9.0,7.0
2022,Jeep,Wrangler 4xe,Sport utility vehicle: Small,35,2.4,11.7,557,143,8.0,5.0
2022,Kia,Niro Plug-in Hybrid,Station wagon: Small,42,2.25,5.1,853,56,10.0,7.0
2022,Kia,Sorento Plug-in Hybrid,Sport utility vehicle: Small,51,3.4,6.9,681,65,10.0,7.0
2022,Lexus,NX 450h+ AWD,Sport utility vehicle: Small,61,4.5,6.6,835,54,10.0,7.0
2022,Lincoln,Aviator Grand Touring,Sport utility vehicle: Standard,34,3.5,10.3,713,130,8.0,7.0
2022,Lincoln,Corsair Grand Touring,Sport utility vehicle: Small,45,3.4,7.0,645,74,10.0,7.0
2022,MINI,Cooper SE Countryman ALL4,Mid-size,29,3.0,8.0,451,109,9.0,3.0
2022,Mitsubishi,Outlander PHEV AWD,Sport utility vehicle: Small,39,4.0,9.1,470,103,9.0,7.0
2022,Porsche,Cayenne E-Hybrid,Sport utility vehicle: Standard,27,3.0,11.3,666,160,7.0,5.0
2022,Porsche,Cayenne Turbo S E-Hybrid,Sport utility vehicle: Standard,24,3.0,13.0,578,199,6.0,3.0
2022,Porsche,Panamera 4 E-Hybrid,Full-size,31,3.0,10.8,745,144,8.0,5.0
2022,Porsche,Panamera 4S E-Hybrid,Full-size,31,3.0,10.8,742,147,8.0,5.0
2022,Porsche,Panamera Turbo S E-Hybrid,Full-size,27,3.0,12.1,665,171,7.0,3.0
2022,Subaru,Crosstrek Hybrid AWD,Sport utility vehicle: Small,27,2.0,6.7,747,94,10.0,6.0
2022,Toyota,Prius Prime,Mid-size,40,2.0,4.3,995,49,10.0,7.0
2022,Toyota,RAV4 Prime,Sport utility vehicle: Small,68,4.5,6.0,911,44,10.0,7.0
2022,Volvo,S60 T8 AWD Recharge,Compact,35,3.0,7.8,781,94,10.0,7.0
2022,Volvo,S60 T8 AWD Recharge Extended Range,Compact,64,5.0,7.6,792,58,10.0,7.0
2022,Volvo,S90 T8 AWD Recharge,Mid-size,34,3.0,7.9,761,100,9.0,7.0
2022,Volvo,S90 T8 AWD Recharge Extended Range,Mid-size,61,5.0,8.1,748,65,10.0,7.0
2022,Volvo,V60 T8 AWD Recharge,Station wagon: Small,35,3.0,7.8,781,94,10.0,7.0
2022,Volvo,V60 T8 AWD Recharge Extended Range,Station wagon: Small,64,5.0,7.6,792,58,10.0,7.0
2022,Volvo,XC60 T8 AWD Recharge,Sport utility vehicle: Small,31,3.0,9.3,769,126,8.0,7.0
2022,Volvo,XC60 T8 AWD Recharge Extended Range,Sport utility vehicle: Small,58,5.0,8.5,838,72,10.0,7.0
2022,Volvo,XC90 T8 AWD Recharge,Sport utility vehicle: Standard,29,3.0,8.8,813,120,9.0,7.0
2022,Volvo,XC90 T8 AWD Recharge Extended Range,Sport utility vehicle: Standard,58,5.0,8.9,798,78,10.0,7.0
2023,Audi,Q5 55 TFSI e quattro,Sport utility vehicle: Small,37,3.0,9.0,600,92,9.0,7.0
2023,Bentley,Bentayga Hybrid,Sport utility vehicle: Standard,31,3.0,11.7,652,138,7.0,3.0
2023,Bentley,Flying Spur Hybrid,Mid-size,34,3.0,12.3,653,156,7.0,5.0
2023,BMW,330e Sedan,Compact,35,3.0,8.8,468,98,9.0,7.0
2023,BMW,330e xDrive Sedan,Compact,34,3.0,9.2,452,107,9.0,7.0
2023,BMW,530e xDrive Sedan,Mid-size,31,3.0,9.5,486,126,8.0,7.0
2023,BMW,X3 xDrive30e,Sport utility vehicle: Small,29,3.0,10.1,502,129,8.0,7.0
2023,BMW,X5 xDrive45e,Sport utility vehicle: Standard,50,5.0,11.5,602,110,8.0,7.0
2023,BMW,XM,Sport utility vehicle: Standard,50,7.0,17.2,431,152,7.0,7.0
2023,Chrysler,Pacifica Hybrid,Minivan,51,2.0,8.0,784,74,10.0,7.0
2023,Ford,Escape Plug-in Hybrid,Sport utility vehicle: Small,60,3.4,5.9,771,49,10.0,8.0
2023,Hyundai,Santa Fe Plug-in Hybrid,Sport utility vehicle: Small,50,3.4,7.2,655,69,10.0,7.0
2023,Hyundai,Tucson Plug-in Hybrid,Sport utility vehicle: Small,53,1.7,6.7,626,62,10.0,7.0
2023,Jeep,Grand Cherokee 4xe,Sport utility vehicle: Standard,42,3.4,10.0,719,110,8.0,7.0
2023,Jeep,Wrangler 4xe,Sport utility vehicle: Small,35,2.4,11.7,557,143,7.0,5.0
2023,Kia,Niro Plug-in Hybrid,Station wagon: Small,55,2.8,4.8,781,42,10.0,7.0
2023,Kia,Sorento Plug-in Hybrid,Sport utility vehicle: Small,51,3.4,6.9,681,65,10.0,7.0
2023,Kia,Sportage Plug-in Hybrid,Sport utility vehicle: Small,55,2.0,6.7,632,60,10.0,7.0
2023,Lexus,NX 450h+ AWD,Sport utility vehicle: Small,61,4.5,6.6,835,54,10.0,7.0
2023,Lincoln,Aviator Grand Touring,Sport utility vehicle: Standard,34,3.5,10.3,713,130,8.0,7.0
2023,Lincoln,Corsair Grand Touring,Sport utility vehicle: Small,43,3.2,7.1,639,76,10.0,8.0
2023,Mercedes-Benz,S 580e 4MATIC Sedan,Full-size,90,2.25,10.0,671,67,10.0,7.0
2023,MINI,Cooper SE Countryman ALL4,Mid-size,29,3.0,8.0,451,109,8.0,3.0
2023,Mitsubishi,Outlander PHEV AWD,Sport utility vehicle: Standard,61,6.5,9.0,626,70,10.0,7.0
2023,Subaru,Crosstrek Hybrid AWD,Sport utility vehicle: Small,27,2.0,6.7,747,94,9.0,6.0
2023,Toyota,Prius Prime SE,Mid-size,72,4.0,4.5,890,31,10.0,7.0
2023,Toyota,Prius Prime XSE,Mid-size,64,4.0,4.9,826,37,10.0,7.0
2023,Toyota,RAV4 Prime,Sport utility vehicle: Small,68,4.5,6.0,911,44,10.0,7.0
2023,Volvo,S60 T8 AWD Recharge,Compact,64,5.0,7.6,792,58,10.0,7.0
2023,Volvo,S90 T8 AWD Recharge,Mid-size,61,5.0,8.1,748,65,10.0,7.0
2023,Volvo,V60 T8 AWD Recharge,Station wagon: Small,64,5.0,7.6,792,58,10.0,7.0
2023,Volvo,XC60 T8 AWD Recharge,Sport utility vehicle: Small,58,5.0,8.5,838,72,10.0,7.0
2023,Volvo,XC90 T8 AWD Recharge,Sport utility vehicle: Standard,53,5.0,8.9,803,82,9.0,7.0
2024,Alfa Romeo,Tonale PHEV,Sport utility vehicle: Small,53,4.0,8.1,520,75,9.0,6.0
2024,Audi,Q5 55 TFSI e quattro,Sport utility vehicle: Small,39,3.0,9.1,595,93,9.0,7.0
2024,Bentley,Bentayga Hybrid,Sport utility vehicle: Standard,34,3.0,11.3,668,128,8.0,3.0
2024,Bentley,Flying Spur Hybrid,Mid-size,34,3.0,12.3,653,156,7.0,5.0
2024,BMW,330e Sedan,Compact,35,3.0,8.8,468,98,8.0,7.0
2024,BMW,330e xDrive Sedan,Compact,34,3.0,9.2,452,107,8.0,7.0
2024,BMW,750e xDrive Sedan,Full-size,55,5.0,9.4,695,82,9.0,7.0
2024,BMW,X3 xDrive30e,Sport utility vehicle: Small,29,3.0,10.1,502,129,8.0,7.0
2024,BMW,X5 xDrive50e,Sport utility vehicle: Standard,63,5.0,10.6,650,81,9.0,7.0
2024,BMW,XM,Sport utility vehicle: Standard,50,7.0,17.2,431,152,7.0,7.0
2024,BMW,XM Label Red,Sport utility vehicle: Standard,50,7.0,17.1,436,159,7.0,7.0
2024,Chrysler,Pacifica Hybrid,Minivan,51,2.0,8.0,784,74,9.0,7.0
2024,Dodge,Hornet R/T PHEV,Sport utility vehicle: Small,53,4.0,8.1,520,75,9.0,6.0
